cdigo,cd_pai,nome,CJF,CNJ,JE1G,JE2G,JEFP,JEJE,JETR,JF1G,JF2G,JFJE,JFTNU,JFTR,JFTRU,JME1G,JMETJM,JMU1G,JMUSTM,JT1G,JT2G,JTTST,STF,STJ,TEU
10735,8942,Ausência de Interesse Processual,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X
10736,8942,Legitimidade para a Causa,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X
10737,8942,Ausência de Pressupostos de Constituição e Desenvolvimento ,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X
10738,9045,Sobrestamento,,,,,,,,,,,,,,X,X,X,X,,,,X,X,
10739,,DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF,,,,,,,,,,,,,,,,,,,,,X,,
10740,10739,Partido Político,,,,,,,,,,,,,,,,,,,,,X,,
10741,10740,Criação do Partido Político,,,,,,,,,,,,,,,,,,,,,X,,
10743,10740,Registro do Partido Político,,,,,,,,,,,,,,,,,,,,,X,,
10744,10740,Extinção do Partido Político,,,,,,,,,,,,,,,,,,,,,X,,
10745,10740,Filiação partidária,,,,,,,,,,,,,,,,,,,,,X,,
10746,10740,Convenção para escolha de candidatos,,,,,,,,,,,,,,,,,,,,,X,,
10747,3654,Inscrição fraudulenta ,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10748,3654,Calúnia,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10749,3654,Difamação,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10750,3654,Injúria,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10751,3654,Captação ilícita de votos ou corrupção eleitoral,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10752,3654,Aliciamento eleitoral,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10753,3654,Falso eleitoral,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10754,3654,Desobediência à determinações da Justiça Eleitoral,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10755,3654,Boca de urna,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10756,3654,Indução à inscrição indevida,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10757,10740,Fidelidade partidária,,,,,,,,,,,,,,,,,,,,,X,,
10760,10739,Plebiscito,,,,,,,,,,,,,,,,,,,,,X,,
10762,10739,Referendo popular,,,,,,,,,,,,,,,,,,,,,X,,
10763,10739,Eleição,,,,,,,,,,,,,,,,,,,,,X,,
10764,10763,Sistema Majoritário / Proporcional,,,,,,,,,,,,,,,,,,,,,X,,
10765,10763,Número de vagas,,,,,,,,,,,,,,,,,,,,,X,,
10766,10763,Eleitor,,,,,,,,,,,,,,,,,,,,,X,,
10767,10763,Registro da candidatura,,,,,,,,,,,,,,,,,,,,,X,,
10768,10763,Campanha Eleitoral,,,,,,,,,,,,,,,,,,,,,X,,
10769,10763,Pleito,,,,,,,,,,,,,,,,,,,,,X,,
10770,10763,Diplomação,,,,,,,,,,,,,,,,,,,,,X,,
10771,10765,fixação,,,,,,,,,,,,,,,,,,,,,X,,
10772,10765,aumento,,,,,,,,,,,,,,,,,,,,,X,,
10773,10765,redução,,,,,,,,,,,,,,,,,,,,,X,,
10774,10766,Alistamento,,,,,,,,,,,,,,,,,,,,,X,,
10775,10766,Domicílio eleitoral,,,,,,,,,,,,,,,,,,,,,X,,
10776,10766,Isenção do dever eleitoral,,,,,,,,,,,,,,,,,,,,,X,,
10777,10766,Justificação de ausência de voto,,,,,,,,,,,,,,,,,,,,,X,,
10778,10774,Cancelamento da inscrição de eleitor,,,,,,,,,,,,,,,,,,,,,X,,
10779,10767,Desincompatibilização do candidato,,,,,,,,,,,,,,,,,,,,,X,,
10780,10767,Inelegibilidade,,,,,,,,,,,,,,,,,,,,,X,,
10781,10767,Reeleição,,,,,,,,,,,,,,,,,,,,,X,,
10782,10767,Cassação do registro da candidatura,,,,,,,,,,,,,,,,,,,,,X,,
10783,10767,Anistia,,,,,,,,,,,,,,,,,,,,,X,,
10784,10768,Propaganda eleitoral,,,,,,,,,,,,,,,,,,,,,X,,
10785,10768,Direito de resposta,,,,,,,,,,,,,,,,,,,,,X,,
10786,10768,Prestação de contas,,,,,,,,,,,,,,,,,,,,,X,,
10787,10768,Pesquisa eleitoral,,,,,,,,,,,,,,,,,,,,,X,,
10788,10768,Abuso do poder econômico,,,,,,,,,,,,,,,,,,,,,X,,
10789,10768,Abuso do poder político (uso indevido dos meios de comunicação),,,,,,,,,,,,,,,,,,,,,X,,
10790,10768,Uso de bem público,,,,,,,,,,,,,,,,,,,,,X,,
10791,10769,Sistema eletrônico de votação,,,,,,,,,,,,,,,,,,,,,X,,
10792,10769,Sigilo na votação,,,,,,,,,,,,,,,,,,,,,X,,
10793,10769,Apuração/recontagem de votos,,,,,,,,,,,,,,,,,,,,,X,,
10794,10769,Nulidade da votação,,,,,,,,,,,,,,,,,,,,,X,,
10795,10769,Quociente eleitoral,,,,,,,,,,,,,,,,,,,,,X,,
10796,10769,Transporte em dia de eleição,,,,,,,,,,,,,,,,,,,,,X,,
10797,10769,Boca de urna,,,,,,,,,,,,,,,,,,,,,X,,
10798,10770,Cassação do diploma,,,,,,,,,,,,,,,,,,,,,X,,
10799,10770,Sustação da diplomação,,,,,,,,,,,,,,,,,,,,,X,,
10800,10739,Mandato,,,,,,,,,,,,,,,,,,,,,X,,
10801,10800,Prestação de contas,,,,,,,,,,,,,,,,,,,,,X,,
10802,10800,Declaração de inelegibilidade,,,,,,,,,,,,,,,,,,,,,X,,
10803,10800,Impugnação de mandato eletivo,,,,,,,,,,,,,,,,,,,,,X,,
10804,10800,Perda do mandato,,,,,,,,,,,,,,,,,,,,,X,,
10805,10800,Recondução,,,,,,,,,,,,,,,,,,,,,X,,
10806,10800,Suspensão de mandato,,,,,,,,,,,,,,,,,,,,,X,,
10807,10800,Convocação de suplente,,,,,,,,,,,,,,,,,,,,,X,,
10808,10800,Renúncia,,,,,,,,,,,,,,,,,,,,,X,,
10809,10800,Extinção do mandato,,,,,,,,,,,,,,,,,,,,,X,,
10810,10800,Afastamento do cargo,,,,,,,,,,,,,,,,,,,,,X,,
10811,10800,Cassação de mandato,,,,,,,,,,,,,,,,,,,,,X,,
10812,10809,Por cumulação de cargos,,,,,,,,,,,,,,,,,,,,,X,,
10813,10809,Por condenação criminal,,,,,,,,,,,,,,,,,,,,,X,,
10814,10809,Por suspensão dos direitos políticos,,,,,,,,,,,,,,,,,,,,,X,,
10815,3654,Desordem eleitoral,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10816,3654,Falsificação de documento público para fins eleitorais,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10817,3654,Uso de documento falso,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10818,3654,Obtenção de documento falso,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10819,3654,Aliciamento de eleitores,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10820,3654,Divulgação de pesquisa de fraudulenta,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10821,3654,Impedimento à fiscalização das pesquisas,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10822,3654,Publicação de pesquisa irregular,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10823,3654,Uso de símbolos governamentais em propaganda eleitoral,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10824,3654,Coação eleitoral,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10825,3654,Aliciamento violento de eleitores,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10826,3654,Aliciamento comercial de eleitores,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10827,3654,Ocultação de urna,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10830,3664,Motim,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10831,3664,Pederastia ou outro ato de libidinagem,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10832,3664,Roubo,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10833,3664,Estelionato,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10834,3664,Incêndio,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10835,3664,Peculato,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10836,3664,Concussão,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10837,3664,Corrupção ativa,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10838,3664,Prevaricação,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10839,3664,Deserção,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10840,3664,Homicídio,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10841,3664,Lesões Corporais,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10842,10841,Lesão levíssima,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10843,3664,Difamação,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10844,3664,Injúria,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10845,10840,Homicídio simples,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10846,10840,Homicídio qualificado,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10847,10841,Leve,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10848,10841,Grave,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10849,10841,Lesões qualificadas pelo resultado,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10850,10832,Roubo simples,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10851,10832,Roubo qualificado,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10852,3664,Latrocínio,,,,,,X,,,,,,,,X,X,X,X,,,,X,,
10854,10695,Auditores Fiscais,,,,,,,,,,,,,,,,,,,,,X,,
10855,7691,Comissão de Permanência,,,,,,,,,,,,,,,,,,,,,X,,
10856,10069,Prescrição por Médico não vinculado ao SUS,,,,,,,,,,,,,,,,,,,,,X,,
10857,10718,Gratificação de Desempenho de Atividade de Seguridade Social e do Trabalho - GDASST,,,,,,,,,,,,,,,,,,,,,X,,
10858,10718,Gratificação de Desempenho de Atividade de Ciência e Tecnologia - GDACT,,,,,,,,,,,,,,,,,,,,,X,,
10859,10573,Alimentos,,,X,X,,,,,,,,,,,,,,,,,X,X,
10860,10573,Depositário Infiel,,,,,,,,,,,,,,,X,,,X,X,X,X,,
10861,10573,Alienação Fiduciária,,,,,,,,,,,,,,,,,,X,X,X,X,,
10862,10146,Proibição de Privilégio Fiscal às Empresas Públicas e Sociedades de Economia Mista,,,,,,,,,,,,,,,,,,,,,X,,
10863,10736,Ausência de Legitimidade para propositura de Ação Civil Pública,,,X,X,,,,X,X,,,,,,X,,,,,,X,X,
10864,10635,Crimes Hediondos,,,X,X,,,,X,X,,,,,,,,,,,,X,X,
10865,4264,Cerceamento de Defesa,,,,X,,,X,,X,,X,X,X,,X,,X,,,,X,X,
10866,4264,Ausência de Publicidade,,,,X,,,X,,X,,X,X,X,,X,,X,,,,X,X,
10867,4264,Ausência de Fundamentação,,,,X,,,X,,X,,X,X,X,,X,,X,,,,X,X,
10868,10157,Criação / Extinção / Reestruturação de Orgãos ou Cargos Públicos,,X,,,,,,,,,,,,,,,,,,,X,,
10869,10672,Parcela Incontroversa,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X
10870,9992,Cancelamento / Duplicidade de CPF,,,,,,,,,,,,,,,,,,,,,X,,
10871,5945,Não Cumulatividade,,,,,,,,,,,,,,,,,,,,,X,,
10872,5946,Nao Cumulatividade,,,,,,,,,,,,,,,,,,,,,X,,
10873,6035,Não Cumulatividade,,,,,,,,,,,,,,,,,,,,,X,,
10874,6039,Não Cumulatividade,,,,,,,,X,X,X,X,X,X,,,,,,,,X,X,
10875,10291,Base de Cálculo,,,,,,,,,,,,,,,,,,X,X,X,X,X,
10877,10695,Policiais Civis,,,,,,,,,,,,,,,,,,,,,X,,
10878,10254,Especial,,,,,,,,,,,,,,,,,,X,X,X,X,X,
10879,6160,Limite de Renda Familiar,,,,,,,,,,,,,,,,,,,,,X,,
10880,9148,Cumprimento Provisório de Sentença,,,X,X,X,X,X,X,X,X,X,,X,X,X,,,X,X,X,X,X,X
10881,10220,Nepotismo,,X,,,,,,,,,,,,,,,,X,X,X,X,,
10883,10301,Fruição / Gozo,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,X,X,X
10884,10301,Indenização / Terço Constitucional,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,X,X,X
10885,10672,Liquidação Parcelada,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,X,X,X,X,X,X
10886,10120,Nulidade do Decreto que autoriza a desapropriação,,,,,,,,,,,,,,,,,,,,,X,,
10887,6017,Ausência de Cobrança Administrativa Prévia,,X,,,,,,,,,,,,,,,,,,,,,
10888,9992,Inscrição Indevida no CADIN,,,,,,,,,,,,,,,,,,,,,X,,
10889,10645,Efeitos da Declaração de Inconstitucionalidade,,,,,,,,,,,,,,,,,,X,X,X,X,,
10890,4264,Vício Formal do Julgamento,,,,X,,,X,,X,,X,X,X,,X,,X,,,,X,X,
10891,11703,Habeas Corpus - Cabimento,,,X,X,,,,X,X,,,,,X,X,,X,,,,X,X,
10892,10069,Medicamento / Tratamento / Cirurgia de Eficácia não comprovada,,,,,,,,,,,,,,,,,,,,,X,,
10893,10302,Base de Cálculo,,,,,X,,X,,,,,,,,,,,X,X,X,X,,X
10894,9997,Abuso de Poder,,,X,X,,,X,,,,,,,X,X,,X,X,X,X,X,X,
10897,4291,Competência dos Juizados Especiais,,,,X,,,X,,X,,X,X,X,,X,,X,,,,X,X,X
10898,4291,Competência da Justiça Federal,,,,X,,,X,,X,,X,X,X,,X,,X,,,,X,X,X
10899,4291,Competência da Justiça Estadual,,,,X,,,X,,X,,X,X,X,,X,,X,,,,X,X,X
10900,4291,Competência por Prerrogativa de Função,,,,X,,,X,,X,,X,X,X,,X,,X,,,,X,X,X
10901,8829,Competência por Prerrogativa de Função,,,,X,,,,,X,,,,,,,,,X,X,X,X,X,
10902,4263,Excesso de prazo para instrução / julgamento,,,X,X,,,,X,X,,,,,X,X,X,X,,,,X,X,
10903,5945,Incidência sobre desconto incondicional,,,,,,,,,,,,,,,,,,,,,X,,
10904,1209,Prisão Domiciliar / Especial,,,,,,,,,,,,,,X,X,X,X,,,,X,X,
10905,10073,Passe livre em transporte,,,,,,,,,,,,,,,,,,,,,X,,
10906,7791,Regressão de Regime,,,X,X,,,,X,X,,,,,X,X,,,,,,X,X,
10907,7791,Transferência de Preso,,,,X,,,,,X,,,,,X,X,,X,,,,X,X,
10908,7942,Execução Penal Provisória - Cabimento,,,,,,,,,,,,,,X,X,,X,,,,X,X,
10909,4291,"Imunidade em razão de função, ofício ou profissão",,,,X,,,X,,X,,X,X,X,,X,,X,,,,X,X,X
10910,10325,Transferência de Unidade,,,,,,,,,,,,,,X,X,,,,,,X,,
10912,1209,Medidas Assecuratórias,,,X,X,,,,X,X,,,,,X,X,X,X,,,,X,X,
10913,10912,Indisponibilidade / Seqüestro de Bens,,,X,X,,,,X,X,,,,,X,X,X,X,,,,X,X,
10914,10912,Busca e Apreensão de Bens,,,X,X,,,,X,X,,,,,X,X,X,X,,,,X,X,
10915,3369,Aborto,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
10917,10915,Aborto provocado pela gestante ou com o seu consentimento,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
10918,10915,Aborto provocado por terceiro,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
10919,10915,Aborto qualificado,,,X,X,,X,,X,X,,,,,X,X,X,X,,,,X,X,
10921,6203,"Restituição de Criança, Convenção de Haia 1980",,,,,,,,X,X,,,,,,,,,,,,X,X,
10922,6017,Cobrança de Multa Moratória de Massa Falida,,X,,,,,,,,,,,,,,,,,,,,,
10923,6017,Cobrança de Juros Moratórios de Massa Falida,,X,,,,,,,,,,,,,,,,,,,,,
10924,4993,Depósito Elisivo,,,X,X,,,,,,,,,,,,,,,,,X,X,
10925,4263,Provas,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X
10926,10925,Prova Ilícita,,,,X,,,X,,X,,X,X,X,,X,,X,,,,X,X,
10928,10015,Competência do Órgão Fiscalizador,,,X,X,,,,,,,,,,,,,,X,X,X,X,,
10930,10157,Município,,,X,X,,,,,,,,,,,,,,,,,X,X,
10931,10930,Criação,,,X,X,,,,,,,,,,,,,,,,,X,X,
10932,10930,Desmembramento,,,X,X,,,,,,,,,,,,,,,,,X,X,
10935,4368,Desclassificação,,,,X,,,X,,X,,,X,,,X,,X,,,,X,X,
10936,10577,Guarda com genitor ou responsável no exterior,,,X,X,,,,,,,,,,,,,,,,,X,X,
10938,8893,Citação,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X
10939,8893,Intimação / Notificação,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10940,8990,Depoimento,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10941,9964,Viagem Nacional,,,X,X,,,,,,,,,,,,,,,,,X,X,
10945,7752,Expurgos Inflacionários / Planos Econômicos,,,X,X,X,X,X,X,X,X,,X,X,,,,,,,,X,X,X
10946,10313,Correção Monetária de Diferenças Pagas em Atraso,,,,,,,,X,X,X,,X,X,,,,,X,X,X,X,X,
10947,5945,Princípio da Seletividade,,,,,,,,X,X,X,,X,X,,,,,,,,X,X,
10948,5626,Violência Doméstica Contra a Mulher,,X,X,X,,X,X,,,,,,,,,,,,,,X,X,
10949,287,Violência Doméstica Contra a Mulher,,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,
10950,287,Crime / Contravenção contra Criança / Adolescente,,,X,X,,X,X,X,X,X,,X,,X,X,X,X,,,,X,X,
10951,287,Crime / Contravenção contra Idoso,,,X,X,,X,X,X,X,X,,X,,X,X,X,X,,,,X,X,
10952,287,Fato Atípico,,,X,X,,X,X,X,X,X,,X,X,X,X,X,X,,,,X,X,
10954,9985,Orçamento,,X,X,X,,,,X,X,,,,,,,,,X,X,X,X,X,
10955,10954,Criação de Dotação Orçamentária,,,X,X,,,,X,X,,,,,,,,,X,X,X,X,X,
10956,10954,Repasse de Duodécimos,,,X,X,,,,X,X,,,,,,,,,X,X,X,X,X,
10957,10954,Repasse de Verbas Públicas,,,X,X,,,,X,X,,,,,,,,,X,X,X,X,X,
10958,10954,Crédito Suplementar,,X,X,X,,,,X,X,,,,,,,,,X,X,X,X,X,
10959,6008,Exclusão - Receitas Transferidas a outras Pessoas Jurídicas,,,,,,,,X,X,X,X,X,X,,,,,,,,X,X,
10982,3547,"""Lavagem"" ou Ocultação de Bens, Direitos ou Valores Oriundos de Corrupção",X,,X,X,,X,,X,X,,,,,X,X,X,X,,,,,,
10983,5872,"""Lavagem"" ou Ocultação de Bens, Direitos ou Valores Oriundos de Corrupção",X,,X,X,,X,,X,X,,,,,X,X,X,X,,,,,,
10984,5873,"""Lavagem"" ou Ocultação de Bens, Direitos ou Valores Oriundos de Corrupção",X,,,,,X,,X,X,,,,,X,X,X,X,,,,,,
10985,3603,Crimes contra a Ordem Tributária praticado por Funcionário Público,X,,,,,X,,X,X,,,,,X,X,X,X,,,,,,
10986,3618,Crime contra a administração ambiental,X,,X,X,,X,X,X,X,X,X,X,X,X,X,X,X,,,,X,X,X
10987,3607,Tráfico Ilícito de Drogas praticado por Funcionário Público,X,,,,,X,,X,X,,,,,X,X,X,X,,,,,,
10988,5875,Má gestão,,,,,,X,,,,,,,,X,X,X,X,,,,,,
10990,5875,Má-gestão praticada por Prefeitos e Vereadores,X,,,,,X,,X,X,,,,,X,X,X,X,,,,,,
10991,5875,Corrupção Praticada por Prefeitos e Vereadores,X,,,,,X,,X,X,,,,,X,X,X,X,,,,,,
10992,3523,Adulteração de Sinal Identificador de Veículo Automotor por Funcionário Público,X,,,,,X,,X,X,,,,,X,X,X,X,,,,,,
10993,3523,Petrechos de Falsificação de Papéis Públicos por Funcionário Público,X,,,,,X,,X,X,,,,,X,X,X,X,,,,,,
10994,3523,Petrechos para falsificação de moeda por Funcionário Público,X,,,,,X,,X,X,,,,,X,X,X,X,,,,,,
10995,3523,Falsidade ideológica praticada por Funcionário Público,X,,,,,X,,X,X,,,,,X,X,X,X,,,,,,
10998,3523,Falsificação de documento Público praticada por Funcionário Público,X,,,,,X,,X,X,,,,,X,X,X,X,,,,,,
10999,9045,Conversão em Agravo Retido,,,,X,,,,,X,,,,,,X,,,,,,,,X
11000,9593,Cobrança de Aluguéis - Sem despejo,,,X,X,X,X,X,,,,,,,,,,,,,,,,X
11001,9593,Consignação de Chaves,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,X,X,X
11004,3523,Falsificação do Selo ou Sinal Público Praticado por Funcionário Público,X,,,,,X,,X,X,,,,,X,X,X,X,,,,,,
11005,3523,Falsificação de Papéis Públicos Praticado por Funcionário Público,X,,,,,X,,X,X,,,,,X,X,X,X,,,,,,
11006,3523,Crime de Desvio e/ou Circulação de Moeda Não Autorizada,X,,,,,X,,X,X,,,,,X,X,X,X,,,,,,
11007,3523,Crime de Moeda Falsa Praticado por Funcionário Público,X,,,,,X,,X,X,,,,,X,X,X,X,,,,,,
11047,8829,Competência da Justiça Militar da União,,,,,,,,,,,,,,,,X,X,,,,X,,
11048,8829,Competência da Justiça Militar dos Estados,,,,,,,,,,,,,,X,X,,,,,,X,X,
11049,,DIREITO PROCESSUAL PENAL MILITAR,,,,,,,,,,,,,,X,X,X,X,,,,,,
11050,11049,Ação Penal Militar,,,,,,,,,,,,,,,X,,X,,,,,,
11051,11049,Correição Parcial,,,,,,,,,,,,,,X,X,X,X,,,,,,
11052,11049,Execução Penal,,,,,,,,,,,,,,X,X,X,X,,,,,,
11053,11049,Jurisdição e Competência,,,,,,,,,,,,,,,X,,X,,,,,,
11054,11049,Menagem,,,,,,,,,,,,,,X,X,X,X,,,,,,
11055,11053,Competência da Justiça Militar da União,,,,,,,,,,,,,,,X,,X,,,,,,
11056,11053,Competência da Justiça Militar Estadual,,,,,,,,,,,,,,,X,,X,,,,,,
11057,11052,Penas restritivas de direitos,,,,,,,,,,,,,,X,X,X,X,,,,,,
11058,11057,Cassação de licença para direção de veículo motorizado,,,,,,,,,,,,,,X,X,X,X,,,,,,
11059,11057,Confisco,,,,,,,,,,,,,,X,X,X,X,,,,,,
11060,11057,Exílio local,,,,,,,,,,,,,,X,X,X,X,,,,,,
11061,11057,Interdição de estabecimento ou associação,,,,,,,,,,,,,,X,,X,X,,,,,,
11062,11057,Proibição de frequentar determinados locais,,,,,,,,,,,,,,X,X,X,X,,,,,,
11063,11057,"Suspensão do exercício do posto, graduação, cargo ou função",,,,,,,,,,,,,,X,X,X,X,,,,,,
11064,11051,Representação do Corregedor,,,,,,,,,,,,,,,X,,X,,,,,,
11065,11051,Requerimento da Parte,,,,,,,,,,,,,,X,X,X,X,,,,,,
11066,11050,Nulidade,,,,,,,,,,,,,,,X,,X,,,,,,
11067,11066,Irregularidade na composição do Conselho,,,,,,,,,,,,,,,X,,X,,,,,,
11068,,DIREITO PENAL MILITAR,,,X,,,,,,,,,,,X,X,X,X,,,,X,X,
11069,11068,Crime Culposo,,,,,,,,,,,,,,X,X,X,X,,,,X,,
11070,11068,Crime em tempo de guerra,,,,,,,,,,,,,,,,X,X,,,,X,,
11071,11068,Crime Tentado,,,,,,,,,,,,,,X,X,X,X,,,,X,,
11072,11068,Crimes contra a Administração da Justiça Militar,,,,,,,,,,,,,,X,X,X,X,,,,X,,
11073,11068,Crimes contra a Administração Militar,,,,,,,,,,,,,,X,X,X,X,,,,X,,
11074,11068,Crimes contra a Autoridade ou Disciplina Militar,,,,,,,,,,,,,,X,X,X,X,,,,X,,
11075,11068,Crimes contra a Pessoa,,,X,,,,,,,,,,,X,X,X,X,,,,X,X,
11076,11068,Crimes contra a Segurança Externa do País,,,,,,,,,,,,,,,,X,X,,,,X,,
11077,11068,Crimes contra Incolumidade Pública,,,,,,,,,,,,,,X,X,X,X,,,,X,,
11078,11068,Crimes contra o Patrimônio,,,,,,,,,,,,,,X,X,X,X,,,,X,,
11079,11068,Crimes contra o Serviço Militar e o Dever Militar,,,,,,,,,,,,,,X,X,X,X,,,,X,,
11080,11068,Parte Geral ,,,,,,,,,,,,,,X,X,X,X,,,,X,X,
11081,11080,Aplicação da Pena,,,,,,,,,,,,,,X,X,X,X,,,,X,,
11082,11080,Efeitos da Condenação,,,,,,,,,,,,,,X,X,X,X,,,,X,,
11083,11080,Excludentes,,,,,,,,,,,,,,X,X,X,X,,,,X,X,
11084,11080,Extinção da punibilidade,,,,,,,,,,,,,,X,X,X,X,,,,X,,
11085,11080,Livramento Condicional,,,,,,,,,,,,,,X,X,X,X,,,,X,,
11086,11080,Penas Acessórias,,,,,,,,,,,,,,X,X,X,X,,,,X,,
11087,11080,Suspensão Condicional da Pena,,,,,,,,,,,,,,X,X,X,X,,,,X,,
11088,11080,Tipicidade,,,,,,,,,,,,,,X,X,X,X,,,,X,,
11089,11088,Abolitio criminis,,,,,,,,,,,,,,X,X,X,X,,,,X,,
11090,11088,Princípio da Insignificância,,,,,,,,,,,,,,X,X,X,X,,,,X,,
11091,11086,Exclusão das Forças Armadas,,,,,,,,,,,,,,,,X,X,,,,X,,
11092,11086,Inabilitação para o exercício de Função Pública,,,,,,,,,,,,,,X,X,X,X,,,,X,,
11093,11086,Incompatibilidade para o Oficialato,,,,,,,,,,,,,,,X,,X,,,,X,,
11094,11086,Indignidade para o Oficialato,,,,,,,,,,,,,,,X,,X,,,,X,,
11095,11086,Perda da Função Pública,,,,,,,,,,,,,,,,X,X,,,,X,,
11096,11086,Perda da Graduação das Praças ,,,,,,,,,,,,,,,X,,,,,,X,,
11097,11086,Perda do Posto e da Patente,,,,,,,,,,,,,,,X,,X,,,,X,,
11098,11086,"Suspensão do pátrio poder, tutela ou curatela",,,,,,,,,,,,,,X,X,X,X,,,,X,,
11099,11086,Suspensão dos direitos políticos,,,,,,,,,,,,,,X,X,X,X,,,,X,,
11100,11084,Anistia,,,,,,,,,,,,,,X,X,X,X,,,,X,,
11101,11084,Indulto,,,,,,,,,,,,,,X,X,X,X,,,,,,
11102,11084,Morte do Agente,,,,,,,,,,,,,,X,X,X,X,,,,X,,
11103,11084,Prescrição,,,,,,,,,,,,,,X,X,X,X,,,,X,,
11104,11084,Reabilitação,,,,,,,,,,,,,,X,X,X,X,,,,X,,
11105,11084,Ressarcimento do Dano,,,,,,,,,,,,,,X,X,X,X,,,,X,,
11106,11083,Estado de Necessidade,,,,,,,,,,,,,,X,X,X,X,,,,X,,
11107,11083,Estado de Necessidade exculpante,,,,,,,,,,,,,,,,X,X,,,,X,,
11108,11083,Estrito Cumprimento do Dever Legal,,,,,,,,,,,,,,X,X,X,X,,,,X,,
11109,11083,Exercício Regular do Direito,,,,,,,,,,,,,,X,X,X,X,,,,X,X,
11110,11083,Inexigibilidade de Conduta Diversa,,,,,,,,,,,,,,X,X,X,X,,,,X,,
11111,11083,Legítima Defesa,,,,,,,,,,,,,,X,X,X,X,,,,X,,
11112,11082,Perda em favor da Fazenda Pública,,,,,,,,,,,,,,X,X,X,X,,,,X,,
11113,11082,Reparação do Dano,,,,,,,,,,,,,,X,X,X,X,,,,X,,
11114,11081,Conversão da Pena,,,,,,,,,,,,,,X,X,X,X,,,,X,,
11115,11081,Substituição da Pena,,,,,,,,,,,,,,X,X,X,X,,,,X,,
11116,11079,Abandono de posto e de outros crimes em serviço,,,,,,,,,,,,,,X,X,X,X,,,,X,,
